#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
瘠	贫__, __薄
劣	恶__, 优__, 伪__, __质
酚	几茶__胺
冥	苦思__想, __想, 洞__子, __思苦想
弦	正__, 心__, 佩__, 琴__
箩	__筐, 簸__
太	__阳, __福, 老____, __监
断	不__, 判__, __定, 中__
搬	__家, __迁, __运, __进
肯	__定, 不__, __德基, __干
辱	侮__, 羞__, 受__, 屈__
丰	__富, __满, __收, __盛
洲	欧__, 亚__, 非__, 满__
笼	鸟__, __子, __统, 出__
眶	眼__, 夺__而出, 热泪盈__
券	证__, 国库__, 债__, 优待__
麻	__烦, __醉, __将, __雀
尼	释迦牟__, __克松, 罗马__亚, 切__
渊	__源, __博, 深__, __明
但	__是, 不__, 非__, __愿
诉	告__, __说, 倾__, __讼
痍	满目疮__
像	好__, 画__, 偶__, 录__机
华	中__人民共和国, 新__社, 中__民族, 才__
忑	忐__不安, 忐__
髓	牙__, 骨__, 延__, 精__
塔	雅尔__, 金字__, __里木, 白__
杖	铁__姥姥, 拐__, 手__
托	委__, 摩__车, 寄__, 委__人
距	__离, 差__, 相__, 间__
碑	石__, 丰__, 纪念__, 里程__
燥	干__, 枯__
彦	脑木巴__思古楞图, 风__
饪	烹__
旭	世__, __东
葬	丧__, 安__, __礼, __送
惯	习__, __例, __性, 司空见__
据	根__, 数__, 依__, __说
俱	__乐部, 人赃__获, 一应__全, 与日__增
买	购__, __卖, __进, __主
瓷	__砖, 搪__, __器, __瓶
靶	打__
叹	__息, 赞__, 惊__, 感__
揠	__苗助长
鱼	金__, 鲫__, 鲤__, 甲__
签	__署, __订, __名, __字
蚀	侵__, 腐__, 腐__性, __本
瘀	活血化__
悄	____地, __声, 静____, __然
辆	车__, 一____, __次
和	__平, 中华人民共__国, __尚, 缓__
透	渗__, __明, __过, __露
玎	__玲玲
烘	__托, __烤, __云托月, __干
钙	碳酸__, 磷酸__, __化, 乳酸__
谧	静__, 安__
夕	前__, __阳, 除__, 一朝一__
郯	__城
折	曲__, __磨, __断, 挫__
丛	__中, 草__, 树__, __生
贝	分__, __多芬, 宝__, __克
跄	踉__, 踉踉____
簧	弹__, 双__
蹰	踟__
骨	__干, __骼, 颧__, 颅__
妪	老__
怯	__弱, 胆__, __生生, 羞__
掮	__客
漱	__口, __溟, 夏目__石
液	血__, 溶__, 精__, __体
羟	__磷灰石
匹	马__, __配, 奥林__克, __敌
甾	__醇
崽	狗__子, __子
宾	__馆, 外__, 鸿__, __客
蓊	__郁
汇	__报, 词__, __通, 外__
歉	道__, 抱__, __意, __疚
陋	简__, 丑__, 粗__, 孤__寡闻
觊	__觎
钳	__制, __子
偏	__见, __爱, __僻, __向
网	__络, __点, 情__, __球
岫	__云
奕	神采____
麦	__胚, 丹__, __当劳, 小__
著	__名, 显__, __作, 专__
拘	__留, 无__无束, 不__一格, __泥
湛	__江, 精__, __蓝
绎	络__不绝, 演__
诞	__生, 怪__, __辰, 圣__
睡	__觉, __着, 熟__, 入__
因	__为, __此, 原__, __素
痢	__疾, 瘌__山, 菌__
入	进__, 收__, 深__, 输__
烤	烘__, __羊肉串, __炉, __烟
孩	__子, 女__, 小__, 女__子
虫	昆__, 棉铃__, 烟青__, 蛊__
蓬	__勃, __莱, __头垢面, 朝气__勃
息	信__, 消__, 休__, 利__
轱	车__辘话
仰	信__, __望, __面, __泳
韶	__关
狸	狐__, 狐__精, 海__, 狐__皮
幻	__想, 变__, 虚__, 梦__
出	__现, __来, 提__, 作__
顿	__时, 整__, 华盛__, 停__
痔	__疮
蚁	蚂__, __穴
最	__后, __好, __高, __近
踪	失__, 跟__, __影, __迹
祗	__陀, 神__
誉	荣__, __为, 信__, 名__
耪	__地
型	类__, 大中__, 大__, 典__
竖	__起, 横七__八, 横__, __立
锌	硫酸__
熏	__陶, 烟__火燎, 利欲__心, __染
刎	自__
蹙	__眉
斗	__争, 奋__, 战__, 艰苦奋__
俘	__虏, 战__, 被__
芙	木__蓉, __蓉
湘	__西, __乡, 庆__, __南
供	提__, __应, __给, __求
兽	野__, 猛__, 鸟__, 人面__心
眠	安__药, 睡__, 冬__, 失__
琢	__磨, __磨不透
傥	倜__
猗	临__县
带	__来, 一__, __有, 领__
笨	__重, __手__脚, __拙, 愚__
枫	雪__, 昌__, 雷__, __叶
堪	不__, __称, 难__, 疲惫不__
播	传__, 广__, __出, 条__
蔬	__菜
戮	杀__
估	__计, 评__, 维__, __量
讳	忌__, 直言不__, __莫如深, __言
氲	氤__
梵	__于, __文, __语, __高
褴	__褛
喷	__洒, __雾器, __发, __壶
阶	__段, 工人__级, 台__, 资产__级
犹	__如, __豫, __太, 毫不__豫
庵	涤__
债	__务, __券, 外__, 三角__
粽	__子
Ｔ	__恤
杀	自__, __人, __害, __死
馊	__主意
情	__况, 事__, 感__, __绪
掷	投__, 一__万金, 抛__
淇	冰__淋
埋	__怨, __头, __头苦干, __伏
逶	__迤
响	影__, __起, 声__, __应
界	世__, 外__, 自然__, 境__
减	__少, __轻, 削__, __弱
黑	__暗, __色, __龙江, __人
齐	整__, 一__, __全, 乌鲁木__
寓	公__, __所, __言, 公__化
磕	__头, ____撞撞, ____绊绊
奔	直__, __波, __驰, 投__
旗	__帜, 中公__, 国__, __号
晖	寒__, 晨__, 朝__
拙	笨__, __劣, 弄巧成__, __于
进	__行, __一步, __入, 促__
聚	__集, __会, 团__, 相__
离	__开, 距__, 脱__, 分__
槟	香__, 香__酒
淤	吴__, __塞, __血
靠	依__, 可__, __近, 可__性
口	__令, 人__, 门__, 出__
呢	着__, __子, __称, 毛__
煤	__矿, __层, __炭, 采__
巧	技__, __妙, __合, 恰__
鹦	__鹉
嫩	黎巴__, __绿, 细__, 娇__
拦	__住, __截, __腰, __路
敬	尊__, 崇__, __重, 孝__
扮	打__, __演, 装__, __演者
轰	__动, __炸机, __鸣, __炸
汲	__取
璞	文__, __光, 返__归元
闷	沉__, __热, 纳__, 苦__
陶	__冶, 熏__, __瓷, __醉
呛	够__
卸	__下, 装__, __妆, __掉
翻	__译, 推__, __身, __过
尾	凤__, __巴, __随, 结__
姿	__态, __势, 英__, 千__百态
驾	__驶, __驶员, __驭, __车
烁	闪__, 闪闪____
范	__围, 规__, 规__化, __畴
蒂	根深__固, 烟__, 罗曼__克, 归根结__
者	记__, 或__, 作__, 读__
了	为__, __解, 除__, 极__
看	__到, __见, __来, __法
名	__字, 著__, __叫, __称
徐	小__, __州, __家集, 老__
鬓	两__, 云__, __角
粒	晶__, 质__, 颗__, 基本__子
堕	__落, __入
蔗	__糖
暖	温__, 取__, __气, __色
掘	挖__, 发__, 采__, 开__
肚	__子, __皮, 大__子, 拉__子
瞠	__目
匣	__弩, __枪, 话__, 话__子
钢	鞍__, 首__, __铁, __琴
冤	__枉, __魂, __家, __案
紧	__张, 赶__, __急, __密
约	制__, 北__, 大__, 纽__
娩	分__
末	周__, __端, __期, 粉__
搭	__配, __乘, 牵线__桥, 配__
坳	山__
脯	胸__
踱	__步
辰	时__, __州, 星__, 诞__
榴	手__弹, 石__, 石__裙
男	__人, __女, __子, __性
隶	__属, 奴__, 直__, 奴__制
刹	一__那, __车, __那间, __那
鼻	__子, __孔, __梁, __涕
蛰	__伏, __存, __居
尽	__管, __量, __快, __可能
痴	__情, __呆, __心, 如__如醉
蟀	蟋__
擂	__台赛, __鼓, 自吹自__, 摆__台
饷	军__
浇	__水, __筑, __注, __灌
仆	__役, 女__, 风尘____, __妇
苍	__白, __老, __蝇, __天
绊	磕磕____, __倒, 羁__
鹑	鹌__
忐	__忑不安, __忑
硕	__士, 丰__, __大, __果
委	__员会, 市__, __员, 省__
迸	__发, __裂
佛	__教, 仿__, __学, __经
胚	麦__, __胎, __芽, 贱__
僧	众__, __人, __侣, 高__
襟	衣__, 胸__, 前__, __怀
陡	__然, __坡, __增, __峭
埠	深水__
豇	__豆
瓢	簟食__饮, 锅碗__勺
健	__康, __全, __吾, 保__
凤	守__, __尾, __凰, __尾帮
寨	柬埔__, 山__, 村__, 屯__
旬	中__, 下__, 上__, 中下__
拮	__据
乱	混__, 动__, 暴__, 杂__无章
述	上__, 描__, 论__, 阐__
酥	__油, 耶__
零	__售, __件, __部件, __售额
特	__别, __点, __殊, __征
司	公__, __机, 有限公__, 土__
彻	贯__, __底, __夜, 透__
图	__腾, __案, 意__, 企__
籽	花__
饿	饥__, 挨__, __殍, __殍遍野
要	__求, 需__, 重__, 主__
沃	菲茨__特, __尔夫, 肥__, 威斯__德
辅	__助, __导, __导员, 相__相成
脆	干__, __弱, 清__, __性
浏	__览, __阳
娌	妯__
序	程__, 秩__, 有__, 顺__
崎	__岖, 岩__允胤
逐	__步, __渐, 追__, __一
钓	垂__, __饵, __鱼, __竿
阔	广__, 宽__, 开__, 幅员辽__
会	社__, 社__主义, 不__, __议
舜	大__
Ｑ	阿__
虚	__幻, __假, 太__, __荣心
焦	__急, __虑, 老__, __点
琨	善__
被	__动, __害人, __子, __褥
训	__练, 培__, 教__, 培__班
躯	身__, __体, __干, 捐__
贮	__存, 存__, __藏, __备
挲	摩__
俟	一__
骷	__髅
尸	__体, 验__, 女__, __身
邻	__居, __近, 毗__, 睦__友好
强	加__, __调, __烈, 增__
皿	器__
唾	__沫, __液, __骂, __弃
见	意__, 看__, 不__, 只__
血	__液, 鲜__, __缘, __管
迅	__速, 鲁__, __猛, __捷
蹄	赫__, 马__, __印, 马不停__
拇	__指, 大__指
腆	腼__
藉	狼__, 慰__, 声名狼__, __着
辍	__学, __莫沟
磋	__商, 切__
经	__济, 已__, __过, __营
金	资__, __属, __融, __鱼
遐	__想, __迩闻名, 闻名__迩
卒	驿__, 士__, 身先士__, 戍__
毯	地__, 毛__, 毡__, __子
胛	肩__骨
翠	__菊, __云坊, 珠__, __亨村
悲	__剧, __哀, __夫, __观
捐	__赠, 募__, __款, __献
敞	宽__, __开, 轩__, __亮
膺	义愤填__
鹤	小__, 仙__, 黄__楼, __立鸡群
吐	谈__, 倾__, __纳, 吞__
闩	门__
周	__围, 四__, __年, __末
坪	草__, 十万__, 三斗__镇, 地__
语	__言, 汉__, __义, __言学
浮	__动, __现, 悬__, __游
恰	__当, __好, __到好处, __巧
艇	快__, 飞翼__, 汽__, 橡皮__
晴	__天, __雨表, __朗, __空
奶	牛__, 酸__, __制品, __粉
僻	偏__, 孤__, __静, __远
叽	__咕
囿	__于
啾	啁__
蝠	蝙__
调	__查, __整, 协__, 强__
捡	__破烂
溟	漱__
崖	悬__, 山__, __壁, 悬__峭壁
验	经__, 实__, 试__, 体__
帏	窗__
妙	美__, 巧__, 莫名其__, 微__
吓	__人, __坏, 恫__, 惊__
隔	分__, __离, __壁, 间__
座	__位, 宝__, __谈会, __落
挝	老__
芜	__湖, 荒__, 巢__, __荽
星	明__, __期, __期天, 歌__
颠	__倒, __覆, __簸, 神魂__倒
客	__观, 顾__, __人, 旅__
弥	__补, __伴, __漫, __敦道
纤	__维, 化__, __细, __维素
甩	__开, __手, __卖, __掉
咨	__询, __询台, __文, __询员
鸭	__绿江, 烤__, __子, __绒被
瞪	目__口呆, __眼
檬	柠__, 柠__汁, 柠__酸
港	香__, 香__特别行政区, __口, __澳
脱	摆__, __离, __落, 解__
莲	__仙, __花, __香, 白__教
朵	耳__, 花__, 云__, 乌尔__
暴	__露, __雨, 风__, __乱
稷	社__
岸	两__, __边, 上__, 口__
逻	__辑, __辑学, __辑思维, __辑性
阿	__拉伯, __姨, __根, 沙特__拉伯
疾	__病, 残__人, 大声__呼, 残__
襁	__褓
检	__查, __验, __测, 人民__察院
郜	__鸣山
诂	训__学
扇	__子, 电__, 电风__, 蒲__
臆	__想, __造, 胸__, __说
蕉	美人__, 芭__, 香__
灶	__台, __间, 炉__, 病__
嫌	__疑, __疑人, 涉__, __弃
鹏	大__, 海__, 继__, __城
兑	__现, __换, 汇__, __付
呓	梦__
遏	__止, __制, 怒不可__
畸	__变, __形
浙	__江, __江省, 江__, __东
拜	崇__, __年, __访, 礼__
剧	悲__, __团, 急__, __烈
哨	__兵, 放__, 前__, 呼__
衫	衬__, 衣__, 运动__, 长__
淮	__南, __阳派, __北, __安
胰	__岛素, __岛
菲	__律宾, __茨沃特, __薄, 丽__
更	__加, __是, __为, __新
穷	任__, 无__, 贫__, 层出不__
偻	佝__
狼	__狈, __藉, __牙山, 黄鼠__
闾	尾__穴
梁	桥__, 鼻__, 脊__, 大__
老	__师, __人, __婆, __板
匪	__徒, 土__, 劫__, 胡__
溅	飞__, 喷__
怆	__然, 悲__
馋	解__, __嘴
窍	__门, 诀__, 一__不通, 七__
邑	夏__
划	计__, 规__, 区__, __分
溆	__浦
氨	__基酸, 组__酸, 精__酸
栖	__息, __身
沙	__发, 长__, 华__, __丘
膛	胸__, 开__, 炉__
业	企__, 农__, 工__, 事__
芝	__加哥, __圃, 润__, __麻
螟	玉米__, 三化__
搞	__好, __活, 对内__活, __鬼
缤	五彩__纷, __纷, 色彩__纷
倦	疲__, __意, __怠, 厌__
钩	上__, 挂__, 渔__, 脱__
用	作__, 使__, 利__, 采__
阪	大__
侯	王__, 丰庆__府, 七__, 万户__
氮	__氧化物, 固__, __肥
悱	__恻
朴	光__, __实, 纯__, 简__
粹	纯__, 国__
冻	冷__室, 冷__, __结, __伤
吾	健__, 维__尔族, 支支____, 仿__
裁	仲__, 制__, __切, 总__
坡	山__, 小__, 新加__, 滑__
跃	活__, 飞__, __入, __起
仅	不__, 不____, 不__如此, __次于
纷	纠__, ____扬扬, 议论____, 五彩缤__
菇	冬__, 香__, __类, 蘑__
聆	__听
蓉	慕__, __子, 木芙__, 笑__
效	__果, 有__, __益, 经济__益
始	开__, 原__, __终, 原__社会
忏	__悔
屎	__眯眯
郑	__州, __重, __重其事, 老__
禹	本__, 继__
嗓	__子, __音, __门, __子眼
雕	__塑, __刻, 石__, 一箭双__
诗	__人, __文, __歌, __词
赘	累__, __述
咻	气____
奠	__定, __基, __基人, 祭__
婢	奴__, __女, 侍__, 妾__
绥	__德, __远, __靖
彤	志__, __红
哩	呜__呜嘟, 唏__哗啦, 布库__雍顺, 着__
悯	怜__
蹒	__跚
陪	__同, __衬, __伴, __嫁
譬	__如, __如说
俯	__视, __首, __身, __瞰
胱	膀__
慰	安__, 欣__, __问, __年
色	__彩, 颜__, 特__, 白__
蝴	__蝶
篷	帐__, 大__车, 斗__, 帆布__
顶	头__, 屋__, 放__煤, 山__
击	__球, 撞__, 打__, 攻__
幺	呼__喝六, 老__
氤	__氲
矿	煤__, __上, __工, __物质
瑾	子__, 秋__
喘	__息, __气, 气__吁吁, 哮__
清	__楚, __水, __晨, __醒
澄	__江, __清, __明, 水__
指	__出, __导, __令, __挥
肆	大__, 放__, __意, __无忌惮
蚊	__帐, __虫, __子, __蝇
稍	__微, __事, __候, __后
完	__全, __成, __善, __整
式	形__, 方__, 正__, 模__
瀑	__布
醐	醍__灌顶
犒	__劳
袖	领__, __口, __子, 衣__
谙	不__
诅	__咒
亚	__洲, __运会, __运, 媞莉__
期	时__, 长__, __货, __间
撞	__击, 碰__, __倒, 跌跌____
堡	明霞__, 瓦窑__, 银汉__, 城__
鸥	怡__, 呐__, 海__, 群__
群	__众, 人__, __体, __众性
邦	联__德国, 耀__, __尼特, 兴__
吩	__咐
钰	韦__才
溯	追__, 上__, __源
诛	天__地灭, __杀
伯	阿拉__, __承, 沙特阿拉__, __康
沮	__丧
凉	冰__, __水, __爽, __风
昵	亲__
纺	__织, 棉__, __车, 轻__
爽	豪__, 凉__, 清__, __快
钾	高锰酸__, __肥
赃	__物, 人__俱获, 栽__, 销__
久	不__, 多__, 前不__, 持__
迄	__今, __今为止
胆	大__, __子, __量, __大
惭	自__形秽, 大言不__, __愧
奋	兴__, __斗, 艰苦__斗, 勤__
蛊	__虫, __惑, __惑人心
富	丰__, __有, 财__, __裕
鹌	__鹑
勒	巴__斯坦, 德克__克, 泰__, 嘎__布__
陕	__北, __西, __南, __甘宁
埔	黄__, 柬__寨
淘	__汰, __气
滚	__动, 翻__, 摸爬__打, __圆
菜	蔬__, 青__, 菠__, 咸__
束	结__, 约__, __缚, __手无策
擞	精神抖__, 抖__, 抖__精神
卧	__室, __房, __床, __铺票
烦	麻__, __躁, __恼, 不耐__
门	部__, 专__, __口, 天安__
雪	__枫, 小__, __白, __花
诬	__告, __蔑, __陷
软	__件, 疲__, 柔__, __弱
锢	禁__
眺	__望, 远__
柴	火__, __油, 丹布__达尔, __禾
筷	__子, 碗__
壶	水__, 酒__, 喷__, __嘴
屹	__立, 巍然__立
养	培__, 营__, 饲__, 营__素
建	__设, __立, __议, __筑
剽	__悍, __窃
睿	__智
抱	__怨, __负, 拥__, 怀__
言	语__, 而__, 语__学, __语
溃	崩__, __疡, 胃__疡, 一触即__
褂	__子, 大__, 马__, 夹裤__
超	__过, 雷__, __越, 启__
肇	__事者, __事, __庆市, 上__
蜀	巴__, __嘉, __葵
枉	冤__, 贪赃__法, 徇私__法
踢	__球, __腿
骋	驰__, 纵横驰__
妍	__丽
砌	堆__, __匠
缎	__带, __子, 锦__, 绸__
嚓	喀__
儒	__学, __家, 侏__, __将
梗	花__, __阻, 心肌__塞, 从中作__
辙	车__, 覆__, 改弦易__, 没__
丘	沙__, 下__脑, __陵, 商__
抛	__弃, __开, __售, __头露面
撮	__合, 一小__
膝	__盖, __下, 促__, 促__交谈
怜	可__, 可__巴巴, __悯, 楚楚可__
管	__理, 尽__, 不__, 主__
娠	妊__, 妊__期
孚	美__
尤	__其, __为, __尼克斯, 怨天__人
瞩	令人__目, 举世__目, __目, 高瞻远__
榭	楼台花__
噜	__苏, 咕__, 打呼__
莱	克__因, 蓬__, 汉__, 史特__
舰	航空母__, __只, 军__, 巡洋__
苟	一丝不__, __且, __同, __活
谛	真__, __听
羹	残__冷炙, 残__剩饭
常	非__, 经__, 正__, 通__
冽	凛__, 清__
值	价__, __得, 产__, 总产__
咿	呀呀____, __呀, ____哑哑
圾	垃__, 垃__车, 垃__箱, 垃__场
证	保__, __明, __据, __券
仃	孤苦伶__
淅	__沥, ____沥沥
迂	__回, __腐
荆	__轲, __棘, __江, 大意失__州
立	建__, __即, 成__, 独__
蕊	花__
种	这__, 各__, 多__, 某__
塌	一__糊涂, 倒__, 死心__地, 坍__
鳏	__夫, __居
发	__展, __现, __生, 开__
酒	喝__, 啤__, 料__, __精
痕	__迹, 伤__, 泪__, 刻__
这	__个, __样, __种, __些
乘	__客, __车, __坐, __机
招	__生, __收, __呼, __待所
赚	__钱, 净__, __取
蓟	__州
杞	枸__, 睢__太
寡	沉默__言, 多__, __妇, __居
绣	__花, __球花, 湘__, __球
奢	__侈, __望, __华, 骄__淫逸
工	__作, __程, __业, 职__
烧	燃__, 火__, __伤, 叉__
卦	八__教, 八__, 打__, 占__
矩	规__, 循规蹈__, 弯__, 老规__
器	机__, 武__, 仪__, 暗__
番	一__, __禺, __茄, 一__话
衬	__衫, __衣, __托, 陪__
泯	__灭, 童心未__
轮	__廓, __船, __渡, 客__
菱	__形, 三__, __花, __角
艰	__苦, __难, __苦奋斗, __巨
曳	摇__
谒	晋__, __见
筇	__竹寺
磷	__酸钙, __肥, __酸酯, 羟__灰石
幸	__福, 不__, __运, 庆__
函	__授, __数, 信__, __授部
灼	焦__, 真知__见
铿	__锵
睾	__丸
檀	__香山, __德润, __香
七	第__, __十, __五, 第十__
概	__念, 大__, __括, 一__
荤	五__道收元教, 五__, 吃__, 五__道
有	没__, __关, 具__, 还__
迭	叫苦不__, 忙不__, 一__声, 折__
程	过__, 工__, __度, __序
复	__杂, 恢__, 反__, __议
颌	下__, 上__, __骨, 颞__
小	__说, __时, __平, 大__
美	__国, __元, __丽, __好
醒	清__, 提__, __来, 惊__
栗	__声, 不寒而__, __子, __色
殖	__民, 生__, 繁__, 生__器
伙	小__子, 家__, __伴, __计
亘	__古, __古超世, __绵
戛	黠__斯国, __然, __然而止
辛	__勤, __苦, 艰__, __亥革命
柄	笑__, 刀__, 手__, 授人以__
窠	__臼
鸣	__之, 轰__, 共__, 孤掌难__
瀚	浩__
鲤	__鱼
厦	__门, 大__, 高楼大__, __门市
圩	__堤, 杨婆__, 桃__
椭	__圆形, __圆
想	思__, __到, 理__, __起
氯	__化
侮	欺__, __辱, 外__
嘶	__哑, __叫
家	国__, __庭, 大__, __里
弹	子__, __性, 导__, 炸__
纸	报__, __条, 造__, 图__
刻	深__, 立__, 时__, 片__
炼	锻__, __油, __油厂, __钢
乃	__至, __是, __立, __兹府
观	__察, __念, __众, 客__
浅	__色, 深__, __滩, 肤__
泄	发__, 排__, __露, 水__不通
蝉	金__脱壳, 噤若寒__, __翼, 金__脱完
牍	连篇累__
霸	__权主义, __权, 欺行__市, 争__
屏	__幕, 南__, __障, __风
卑	自__, 自__感, __鄙, __贱
狐	__臭, __狸, __狸精, 银__
镕	__基
哔	__剥
街	__头, __上, __道, 大__
余	业__, 其__, 多__, __地
付	应__, __出, 支__, 对__
跚	蹒__
惜	可__, 惋__, 珍__, 不__
章	文__, 规__制度, __程, 印__
另	__外, __一方面, __行, __当别论
革	改__, __命, 反__命, 变__
雨	__伞, __水, 下__, 大__
闪	__击, __烁, __亮, __电
赓	贻__, 陈__
修	__改, __养, __建, __行
顷	__刻, 公__, __刻间, 一碧万__
役	战__, 仆__, 服__, 劳__
绸	丝__, 丝__之路, 红__, 府__
煽	__动
较	比__, __为, __量, __之
沅	__江, __陵, __水
獗	猖__
舆	__论, __论界
月	新__, 每__, 岁__, __亮
宋	北__, __代, 南__, 仿__体
碍	障__, 阻__, 妨__, 有__于
甬	__江
匐	阿__, 匍__
匝	__数, 密密____
倒	__是, 颠__, 压__, 反__
咕	嘀__, 叨__, 叽__, __哝
优	__势, __秀, __点, __惠
谚	__语
肝	__炎, 心__, 心__宝贝, __癌
斟	__酒, 字__句酌, __酌
窄	狭__, __小, __巴巴
骡	__子
笠	__帽, 斗__, 戴__
囚	__室, __徒, __车, 死刑__
粥	一锅__, 僧多__少, 稀__
缰	马__
在	现__, 存__, 正__, 放__
琪	安__, 寿__
袭	__击, 侵__, 承__, 世__
涯	生__, 天__, 浪迹天__, 天__海角
花	插__, 棉__, 藏__, __卉
脉	主动__, __搏, 血__, 含情____
螳	__螂
娶	__亲, 婚丧嫁__, 嫁__, 明媒正__
纹	指__, 皱__, 花__, 裂__
缸	水__, 浴__, 金鱼__, 鱼__
去	过__, __年, 下__, 出__
尺	__度, __子, __寸, 公__
炽	__热, __烈, 白__灯
瘾	上__, 烟__
促	__进, __使, 督__, __成
桂	__冠, __林, __花, 折__
资	投__, __源, __金, __料
几	__乎, __十, 十__, 好__
郭	小__, 老__, __合乐
摊	__派, __位, 报__, __子
芹	雪__, __菜
遒	__劲
畔	湖__, 岸__, 河__, 黄浦江__
琏	善__
仙	__女, 莲__, 天__, 神__
潘	森__, __漠
豚	河__
虞	尔__我诈
愚	泰__, __蠢, __昧, __弄
蔑	诬__, 污__, __视, 轻__
峥	__嵘
燧	烽__
坨	硬__
毫	__无, 丝__, __不, __米
鹞	__子
路	道__, __上, 铁__, 高速公__
湮	__没, __灭
英	__国, __雄, __文, __语
柳	__州, 垂__, __庄, 二__庄
垒	关税壁__, __球, 堡__, 壁__
整	__个, 调__, __体, 完__
究	研__, __竟, 研__生, 研__所
淄	__博
都	__会, 大__, 昆__, 首__
兼	__职, __任, __有, __顾
百	一__, 老__姓, __分点, 几__
倏	__地, __然, __忽
袂	联__
谅	__解, 原__, 体__, 见__
趄	趔__
着	随__, 接__, 沿__, 对__
笋	冬__, 雨后春__, 芦__
砍	__价, __伐, __刀
刑	__事, __警, __侦, __警队
夙	__愿
霓	虹__, 虹__关, __虹灯, __虹
炒	__菜, __家, __肉丝, __股
吕	__梁山, __堡, 能登__
碘	__酒
丙	黑__, __乾, __烷
辘	后轴__, 车轱__话, 车__, 饥肠____
瓮	__声__气
思	__想, 意__, __维, __考
琛	其__
宠	__爱, __物, 受__若惊, __儿
榆	__叶梅, __树, 桑__, __次
瘩	疙__, 鸡皮疙__, 疙疙____
咪	__森, 猫__
贯	__彻, __穿, 一__, 满__
亮	漂__, 明__, 月__, 光__
舱	船__, __门, 机__, __位
掰	__开
育	教__, 体__, 发__, 高等教__
夷	化险为__, __为平地, 武__山, 鄙__
鸹	老__
医	__院, __生, __疗, __学
冼	__星海
难	困__, __以, __道, __题
酋	阿联__, __长国
诀	秘__, __别, __窍, 口__
佃	__户
裂	__化, __缝, 分__, 撕__
捷	敏__, 快__, __克斯洛伐克, __径
拆	__迁, __开, __散, __除
筋	钢__, 脑__, 动脑__, __疲力尽
惶	__惑, 人心____, 惊__, __恐
黎	巴__, __巴嫩, __明, 赫胥__
剑	宝__, __虹, __法, 长__
珐	__琅, __琅质
靓	俊男__女
瑕	__疵, 无__
量	质__, 力__, 大__, 数__
乙	__级, 义__, __地, __方
还	__是, __有, __要, 偿__
滑	下__, 光__, 润__油, __坡
履	__行, 步__, __历表, 步__维艰
照	按__, __片, __顾, 依__
罐	__头, 瓦__, __子, __笼
险	危__, 风__, 冒__, 探__
烽	__火, __燧, __火台
哪	__里, __儿, __个, __些
婿	女__, 夫__
杳	音信__无
锵	铿__
葵	__黄, __花, 蜀__
轿	__车, 花__, 小__车, __子
祷	祈__, __告, 祝__
棕	__色, __榈树, __榈泉, __黄
琵	__琶, __琶行
长	增__, __期, 家__, 厂__
盾	矛__, 主要矛__, 基本矛__, 后__
趁	__机, __着, __势, __热打铁
谀	阿__
漂	__亮, __洗, __浮, 水__
暇	无__, 目不__接, 目不__给, 自顾不__
希	__望, __民, __腊, __濂
骏	__年
躬	__身, 鞠__, 事必__亲, 反__自问
疑	无__, 怀__, __惑, 可__
琐	繁__, 烦__, __屑, 猥__
邓	__柯
厕	__所
毡	地__, 毛__, __帽, __毯
枝	花__, __叶, 树__, 荔__
攫	__取
唱	__歌, 演__会, 合__, 吟__
恚	__恨
隧	__洞, __道
锦	__州, 云__, 盘__, __西
沫	泡__, __若, 唾__, 白__
猪	__肉, 烧__, 乳__, 老母__
浜	陆家__
绯	__红
戴	佩__, 披星__月, 爱__, __帽子
康	健__, 小__, 伯__, __福
妹	姐__, 小__, 表__, 音__
砸	__碎
钻	__石, __进, __头, __研
笺	信__
势	形__, 优__, 趋__, __力
汀	长__
紊	__乱, 有条不__
毅	__然, __力, 秉__, 刚__
橄	__榄枝, __榄油, __榄绿
蛇	毒__, 巳__, 打草惊__, 虎头__尾
坠	__落, __入, 摇摇欲__, __毁
醍	__醐灌顶
峋	嶙__
忍	__不住, 容__, __受, __耐
幌	__子, 札__
揖	作__
奎	__尔, 聚__, 守__, __勤
呐	__喊, 唢__, __鸥, 摇旗__喊
青	__年, __少年, __联, 中__院
剔	__除, 挑__
仗	对__, 打__, __义, __着
赖	依__, 信__, __以, __尔
拟	模__, __定, __订, 草__
巡	南__, __夜, __捕房, __视
屠	南京大__杀, __杀, 七级浮__, 大__杀
形	__成, __式, __势, __象
寥	____无几, 寂__
啦	呼__, 乌里哇__, 哗__, 哗____
遨	__游
鞋	__底, 拖__, 皮__, 布__
蹦	活__乱跳, ____跳跳
俭	勤工__学, 省吃__用, __朴, 克勤克__
麓	大__, 南__, 山__, 岳__
旱	大__, 干__, 抗__, __季
胳	__膊, __肢窝, __膊肘
褒	__贬, __义词, __贬不一, __奖
廷	__贵, 教__, 朝__, 清__
嗲	__兮兮, 娇声__气
孺	俯首甘为__子牛, 妇__皆知, __子可教
桅	__杆, __子花, __灯
噼	__里啪啦
洁	清__, __白, 简__, 整__
愉	__快, __悦, 欢__, 大__
铭	座右__, __枢, 刻骨__心, 玉__
