#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
颗	__粒, 一____
拭	擦__, __泪, __目以待
柯	__比, __达, 南__一梦, 契__夫
娼	暗__
裱	装__, __糊
跳	__舞, 心__, __出, __动
轴	卷__, 坐标__, 连__转, 后__辘
号	符__, 信__, __召, 口__
偶	__尔, __然, __像, 丧__
啸	呼__, 天__, 长__, 海__
移	转__, __民, __动, 坚定不__
贾	巨__
竽	滥__充数
忿	____不平, __恨, 怨__, 气__
态	__度, 状__, 生__, 形__
膀	肩__, 翅__, __子, __胱
节	__目, 调__, 音__, 季__
构	结__, 机__, __成, __造
梆	____硬
消	__息, __失, __费, 取__
刍	__议
厌	讨__, __恶, __食, 不__其烦
咎	__由自取, 引__辞职, 既往不__
堑	吃一__
怙	罗__罗
媒	__介, 做__, __人, __质
帕	手__, __勒斯特里纳, ____木哈拉, __德摩瓦提
羔	王八__子
茗	品__, 香__
肖	十二生__, 生__, 惟妙惟__, __像
褛	褴__, __空
濮	东__
伟	__大, 宏__, __民, 雄__
倡	提__, __导, __议, 反腐__廉
冠	__华, __心病, __军, 牙__
锣	__鼓, 紧__密鼓, __鼓喧天, 鸣__开道
颦	一__一笑
踝	足__
愫	情__
纪	经__人, 世__, __律, 年__
掬	憨态可__
术	技__, 科学技__, 艺__, 学__
辜	无__, __负
踵	接__而来, 接__而至, 摩肩擦__, 摩顶放__
猷	大__
吹	__塑, __动, __嘘, __捧
疸	黄__
颞	__颌, __颥
稽	滑__, __查, 无__之谈, 会__
吏	官__, __治, 大__, 贪官污__
精	__神, __神文明, __力, __心
臀	__部, __围
吉	__祥, __林省, __凶, __林
皙	白__
硷	__基
歇	__息, 停__, 安__, __斯底里
裆	裤__
汉	__字, __语, 武__, __子
珍	玉__, __珠, __贵, 阿__
克	伊拉__, __服, 普__, 马__思
今	__天, __年, __后, 如__
前	目__, 面__, 之__, 以__
双	__方, __手, __眼, __目
坏	破__, 好__, __人, 吓__
哎	__呀, __哟, __哟哟
塑	吹__, __料, __造, 雕__
姐	小__, __妹, 顺__, 大__
幕	屏__, 开__, 序__, 闭__
翔	飞__, __实, 凤__, 南__
骝	马__岗
胖	肥__, __子, 肥__病, 肥__症
匾	__额
湍	__急, __流
呜	__咽, __呼, __哩__嘟, __飞
泞	泥__
科	__学, __技, __学技术, 学__
镣	脚__
巨	__大, 艰__, __汉, __人
绪	情__, 志__, 思__, 光__
扭	__曲, __转, __头, __动
杯	举__, 茶__, 干__, 酒__
卷	__入, __子, 胶__, __叶蛾
馨	温__, __香, 宁__儿, 恬__
闸	__口, 开__, 新__路, 水__
固	__定, 巩__, __定资产, __然
导	领__, 指__, 引__, __致
齿	牙__, 龋__, 口__, 不__
骁	__勇
脂	__肪, 油__, __肪酸, 胭__
萄	葡__牙, 葡__糖, 葡__酒, 葡__
辉	__煌, 光__, 生__, 交相__映
丈	__夫, 方__, __母娘, 大__夫
再	不__, __次, __也, __结晶
侃	____而谈, 调__
咏	__唱, __晨, __诵, __赞
霎	__时, 一__, 一__时, __时间
库	__存, 数据__, 国__券, 水__
砂	__浆, __子, 翻__, 型__
尔	偶__, 比__, 哈__滨, 戈__巴乔夫
挖	__掘, __苦, 开__, __潜
炮	__兵, 鞭__, __弹, 迫击__
沟	__通, 山__, 竹__, ____坎坎
伞	雨__, 打__, 晴雨__
删	__去, __节, __除, __改
嚣	喧__, __张气焰
颧	__骨
符	__合, __号, 字__, 字__集
鸨	老__
披	__露, __风, __星戴月, 所向__靡
爆	__发, __炸, __发力, __破
躲	__避, __开, __闪, ____闪闪
涵	内__, __养, 包__, __义
水	__平, __泥, 清__, 恨__
炷	一__香离卦
眈	虎视____
瘸	__子, __腿
町	中__一郎, 中__
禽	家__, __兽, __蛋
岿	__然不动
箴	__言
所	__以, __有, __谓, __有制
琊	琅__乡
旅	__游, __客, __馆, __社
摄	拍__, __影, __入, __取
么	什__, 怎__, 那__, 为什__
勋	功__, 仲__, __章, 应__
浊	混__, 污泥__水, 污__, __气
重	__要, 严__, __点, __大
偌	__大
翡	__翠
坎	里__, __坷, 沟沟____, __农
篑	功亏一__
结	__构, __果, __合, __束
渎	亵__
贻	__误, __淦, 祖__, __害
噤	__若寒蝉, 寒__
兢	战战____, ____业业
学	__生, 科__, __习, __校
翩	__然, 浮想联__, 风度____, ____起舞
帽	__子, 笠__, 草__, 军__
臭	狐__, __味, 发__, 口__
恬	__静, 蒙__, __淡, __然
诱	__惑, 引__, __人, __导
递	传__, __给, __交, __减
践	实__, __踏, 作__, 实__者
烷	__基, 辛__, 丙__, 环__基
培	__养, __训, __育, __训班
髻	丫__
秽	淫__, 污__, 自惭形__, 污言__语
胫	不__而走, __骨
涝	内__, 洪__
持	坚__, 保__, 支__, __续
技	__术, 科__, 科学__术, 高新__术
彪	__形大汉, 学__
标	__准, 目__, __志, __准化
殆	百战不__, 危__, __尽
漉	湿____
予	给__, __以, 赋__, 不__
越	__来__, __南, 优__性, 超__
雾	烟__, 迷__, 浓__, __气
瞎	__子, __说, 说__话
笑	微__, 苦__, __容, 哈哈大__
馒	__头
雯	伊__
耗	消__, __散, 损__, 噩__
弘	__扬, __景, __广
袜	__子, 鞋__, 丝__, 短__
氟	氢__酸
辞	告__, __职, __典, __别
匡	__算
加	__强, 增__, 参__, 更__
冢	饭__, 荒__
甥	外__, 外__女
咤	叱__风云
腌	__制
宦	__官
缩	__短, 收__, __小, 紧__
纨	__绔子弟, 锦屋__
舫	法__
悬	__挂, __殊, __崖, __浮
贵	宝__, 珍__, 富__, 廷__
疟	__疾
霹	__雳, __雷
稻	__子, __谷, 水__, __田
躺	平__, __倒, __椅
簿	__记, 对__公堂, 帐__, 生死__
锚	抛__, 拔__, 起__
晃	一__, 摇__, __动, 明____
懂	__得, __事, 易__, 似__非__
故	__事, __意, 事__, __乡
蓄	储__, 积__, __水, 含__
识	认__, 知__, 意__, 知__分子
酶	淀粉__, 脂肪__
免	避__, 以__, 不可避__, 难__
侣	伴__, 情__, 僧__, 僧__主义
城	__市, 长__, __里, __乡
筑	建__, 上层建__, 建__物, 建__业
痹	麻__
秒	__钟, 一__, 争分夺__, 百分之一__
荏	光阴__苒
菖	唐__蒲
蝙	__蝠
橛	__子
楝	__树
江	__湖, 永__, 浙__, 长__
连	__续, __队, __忙, __长
卡	__车, __片, 斯里兰__, 唐__
狠	__抓, 恶____, 凶__, __毒
略	战__, 忽__, 策__, 侵__
瓤	瓜__
芥	__川龙之介, 纤__, __兰, __子
彩	色__, __电, __霞, __色
塾	私__, __师, 家__
扫	__荡, 打__, __除, __帚
惬	__意
乳	__糖, __胶, __牙, __白色
赵	__家村, 小__, 完璧归__, 燕__
偷	__看, 小__, __税, __渡
叶	茶__, 树__, __子, 居维__
睹	目__, 亲眼目__, 惨不忍__, 目不忍__
相	__互, __信, __当, 互__
驻	__地, 派__, __军, __华
闺	__女, 深__, 大家__秀, 待字__中
好	不__, 最__, 只__, 良__
鱿	__鱼
忾	同仇敌__
滁	__县, __州市
螃	__蟹
怂	__恿
傀	__儡
争	竞__, 战__, 斗__, __取
梭	穿__, 如__, 摩__, 日月如__
压	__力, 积__, 电__, __缩
谊	友__, 情__, 联__, 友__城
傍	__晚, 依山__水, __着, __黑
吃	__饭, __饱蹲, 大__一惊, __惊
疏	__导, __忽, __通, 稀__
嘎	__勒布勒, 兰__西贺, 吱__, 哈伊__斯
窑	__洞, 石__, 瓦__堡, 土__
砒	__霜
粕	糟__
或	__者, __是, __许, 抑__
蜘	__蛛, __丝
殛	雷__
渤	__油, __油公司, __海, __海湾
涟	__漪
丞	__相
务	服__, 任__, 业__, 国__院
匠	泥水__, 木__, 铁__, 鞋__
垣	板__, 城__, 断__残壁, 残__断壁
逢	每__, 相__, __年过节, 正__
钥	__匙, __匙孔
唤	呼__, __醒, __起, 召__
禧	法__寺, 慈__, 钻__队, 恭贺新__
畿	京__
莫	__斯科, __非, __名其妙, __大
妆	化__, 化__品, 嫁__, 卸__
瞳	眼__, __孔
斯	伊__兰教, __诺, 穆__林, 巴勒__坦
澳	__大利亚, 港__, __门, __洲
啕	嚎__, 号__大哭, 嚎__大哭
