original_word	pinyin	english	freq_per_mil	count_in_corpus
法律	fǎ lu:4	law/CL:條|条[tiao2], 套[tao4], 個|个[ge4]	151.0	7
同样	tóng yàng	same/equal/equivalent	140.0	7
讨论	tǎo lùn	to discuss/to talk over/CL:個|个[ge4]	128.0	7
关注	guān zhù	to pay attention to/to follow sth closely/concern/interest/attention	105.0	7
如今	rú jīn	nowadays/now	93.0	7
情绪	qíng xù	mood/state of mind/moodiness/CL:種|种[zhong3]	77.0	7
弹	dàn; tán	crossball/bullet/shot/shell/ball; to pluck (a string)/to play (a string instrument)/to spring or leap/to shoot (e.g. with a catapult)/(of cotton) to fluff or tease/to flick/to flip/to accuse/to impeach/elastic (of materials)	42.0	7
武器	wǔ qì	weapon/arms/CL:種|种[zhong3]	41.0	7
平台	píng tái	platform/terrace/flat-roofed building	37.0	7
上周	shàng zhōu	last week	9.1	7
法治	fǎ zhì	rule of law/to rule by law	8.8	7
纽约时报	Niǔ Yuē Shí bào	New York Times (newspaper)	0	7
几个	jǐ ge	a few/several/how many	0	7
诉求	sù qiú	to appeal/to demand (an answer)/requirement/demand/claim/appeal/(marketing) message	0	7
许多	xǔ duō	many/a lot of/much	342.0	6
方面	fāng miàn	respect/aspect/field/side/CL:個|个[ge4]	307.0	6
那里	nà li	there/that place/also written 那裡|那里; there/that place	283.0	6
或者	huò zhě	or/possibly/maybe/perhaps	271.0	6
送	sòng	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send	262.0	6
方式	fāng shì	way (of life)/pattern/style/mode/manner/CL:個|个[ge4]	252.0	6
了解	liǎo jiě	to understand/to realize/to find out	250.0	6
正在	zhèng zài	in the process of (doing something or happening)/while (doing)	243.0	6
不知	bù zhī	not to know/unaware/unknowingly/fig. not to admit (defeat, hardships, tiredness etc)	223.0	6
法	Fǎ; fǎ	France/French/abbr. for 法國|法国[Fa3 guo2], France/French/Taiwan pr. [Fa4 guo2]; law/method/way/Buddhist teaching/Legalist	216.0	6
今年	jīn nián	this year	199.0	6
国	Guó; guó	surname Guo; country/nation/state/national/CL:個|个[ge4]	192.0	6
理解	lǐ jiě	to comprehend/to understand/comprehension/understanding	171.0	6
改变	gǎi biàn	to change/to alter/to transform	138.0	6
中文	Zhōng wén	Chinese/Chinese written language/Chinese writing	121.0	6
