original_word	pinyin	english	freq_per_mil	count_in_corpus
袋	dài	a pouch/bag/sack/pocket	42.0	3
关闭	guān bì	to close/to shut	41.0	3
偏	piān	to lean/to slant/oblique/prejudiced/to deviate from average/to stray from the intended line/stubbornly/contrary to expectations/left-hand side of a split Chinese character, often the key or radical	40.0	3
窗	chuāng	shutter/window/CL:扇[shan4]	39.0	3
微	Wēi; wēi	surname Wei/ancient Chinese state near present day Chongqing/Taiwan pr. [wei2]; tiny/miniature/profound/abtruse/to decline/one millionth part of/micro-/Taiwan pr. [wei2]	38.0	3
案件	àn jiàn	law case/legal case/judicial case/CL:宗[zong1],樁|桩[zhuang1],起[qi3]	38.0	3
枚	Méi; méi	surname Mei; classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc/tree trunk/whip/wooden peg, used as a gag for marching soldiers (old)	38.0	3
领导人	lǐng dǎo rén	leader	36.0	3
提升	tí shēng	to promote/to upgrade	34.0	3
负担	fù dān	burden/to bear a burden	34.0	3
禁止	jìn zhǐ	to prohibit/to forbid/to ban	34.0	3
街头	jiē tóu	street	33.0	3
选举	xuǎn jǔ	to elect/election/CL:次[ci4],個|个[ge4]	32.0	3
场所	chǎng suǒ	location/place	31.0	3
敏感	mǐn gǎn	sensitive/susceptible	31.0	3
分开	fēn kāi	to separate/to part	30.0	3
当成	dàng chéng	to consider as/take to be	29.0	3
言论	yán lùn	expression of opinion/views/remarks/arguments	28.0	3
势力	shì li	power/(ability to) influence	26.0	3
始	shǐ	to begin/to start/then/only then	25.0	3
普通话	pǔ tōng huà	Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech	25.0	3
违反	wéi fǎn	to violate (a law)	25.0	3
升级	shēng jí	to escalate (in intensity)/to go up by one grade/to be promoted/to upgrade (computing)	24.0	3
想像	xiǎng xiàng	to imagine/to conceive of/to visualize/imagination	24.0	3
预计	yù jì	to forecast/to predict/to estimate	23.0	3
达成	dá chéng	to reach (an agreement)/to accomplish	22.0	3
视为	shì wéi	to view as/to see as/to consider to be/to deem	22.0	3
回应	huí yìng	to respond/response	22.0	3
禁	jīn; jìn	to endure; to prohibit/to forbid	22.0	3
冠	Guàn; guān; guàn	surname Guan; hat/crown/crest/cap; to put on a hat/to be first/to dub	20.0	3
镇压	zhèn yā	suppression/repression/to suppress/to put down/to quell	20.0	3
压抑	yā yì	to constrain or repress emotions/oppressive/stifling/depressing/repression	19.0	3
箭	jiàn	arrow/CL:支[zhi1]	19.0	3
舆论	yú lùn	public opinion	18.0	3
气味	qì wèi	odor/scent	17.0	3
点燃	diǎn rán	to ignite/to set on fire/aflame	15.0	3
反思	fǎn sī	to think back over sth/to review/to revisit/to rethink/reflection/reassessment	15.0	3
朗	lǎng	clear/bright	15.0	3
担忧	dān yōu	to worry/to be concerned	14.0	3
被捕	bèi bǔ	to be arrested/under arrest	14.0	3
火焰	huǒ yàn	blaze/flame	12.0	3
封锁	fēng suǒ	to blockade/to seal off	12.0	3
流血	liú xuè	to bleed/to shed blood	12.0	3
介入	jiè rù	to intervene/to get involved	12.0	3
本土	běn tǔ	one's native country/native/local/metropolitan territory	12.0	3
加深	jiā shēn	to deepen	9.8	3
集会	jí huì	to gather/assembly/meeting/CL:個|个[ge4],次[ci4]	9.6	3
天桥	Tiān qiáo; tiān qiáo	Tianqiao district of Ji'nan city 濟南市|济南市[Ji3 nan2 shi4], Shandong/Tianqiao district in Beijing, formerly a center of folk culture; overhead walkway/pedestrian bridge	9.2	3
弱势	ruò shì	vulnerable/weak	8.7	3
颁布	bān bù	to issue/to proclaim/to enact (laws, decrees etc)	7.2	3
平息	píng xī	to settle (a dispute)/to quieten down/to suppress	7.0	3
身分	shēn fèn	variant of 身份/identity/status/capacity/dignity/position/rank	6.6	3
敦促	dūn cù	to press/to urge/to hasten	4.7	3
暴动	bào dòng	insurrection/rebellion	4.5	3
对峙	duì zhì	to stand opposite/to confront/confrontation	4.3	3
支持者	zhī chí zhě	supporter	4.3	3
拉面	lā miàn	pulled noodles/ramen	4.3	3
一国两制	yī guó liǎng zhì	one country, two systems (PRC proposal regarding Hong Kong, Macau and Taiwan)	3.2	3
暴徒	bào tú	bandit/thug/ruffian	3.1	3
裁定	cái dìng	ruling	2.9	3
夹缝	jiā fèng	crack/crevice	1.9	3
一次	yī cì	first/first time/once/(math.) linear (of degree one)	0	3
令人	lìng rén	to cause sb (to do)/to make one (feel sth)/(used in constructing words for feelings such as anger, surprise, sympathy etc)	0	3
言论自由	yán lùn zì yóu	freedom of speech	0	3
占领者	zhàn lǐng zhě	occupant	0	3
活动人士	huó dòng rén shì	activist	0	3
一周	yī zhōu	one week/all the way around/a whole cycle	0	3
在华	zài Huá	within China/during one's visit to China	0	3
对口型	duì kǒu xíng	lip synching	0	3
英语	Yīng yǔ	English (language)	330.0	2
关系	guān xi	relation/relationship/to concern/to affect/to have to do with/guanxi/CL:個|个[ge4]	319.0	2
十	shí	ten/10	318.0	2
段	Duàn; duàn	surname Duan; paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc	312.0	2
行	háng; xíng; xìng	a row/series/age order (of brothers)/profession/professional/relating to company; to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do; behavior/conduct	307.0	2
同	tóng; tòng	like/same/similar/together/alike/with; see 衚衕|胡同[hu2 tong4], variant of 胡同[hu2 tong4]	303.0	2
有点	yǒu diǎn	a little	290.0	2
眼睛	yǎn jing	eye/CL:隻|只[zhi1],雙|双[shuang1]	288.0	2
多少	duō shǎo; duō shao	number/amount/somewhat; how much/how many/which (number)/as much as	275.0	2
声音	shēng yīn	voice/sound/CL:個|个[ge4]	274.0	2
得到	dé dào	to get/to obtain/to receive	271.0	2
完全	wán quán	complete/whole/totally/entirely	268.0	2
文章	wén zhāng	article/essay/literary works/writings/hidden meaning/CL:篇[pian1],段[duan4],頁|页[ye4]	267.0	2
读	dòu; dú	comma/phrase marked by pause; to read/to study/reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]	267.0	2
刚	gāng	hard/firm/strong/just/barely/exactly	266.0	2
些	xiē	some/few/several/measure word indicating a small amount or small number (greater than 1)	266.0	2
因此	yīn cǐ	thus/consequently/as a result	263.0	2
继续	jì xù	to continue/to proceed with/to go on with	253.0	2
并不	bìng bù	not at all/emphatically not	249.0	2
早	zǎo	early/morning/Good morning!	244.0	2
语言	yǔ yán	language/CL:門|门[men2],種|种[zhong3]	238.0	2
篇	piān	sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article	235.0	2
受	shòu	to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)	235.0	2
认识	rèn shi	to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition	229.0	2
组织	zǔ zhī	to organize/organization/organized system/nerve/tissue/CL:個|个[ge4]	224.0	2
回家	huí jiā	to return home	219.0	2
几乎	jī hū	almost/nearly/practically	217.0	2
那样	nà yàng	that kind/that sort	214.0	2
达	Dá; dá	surname Da; to attain/to reach/to amount to/to communicate/eminent	209.0	2
经过	jīng guò	to pass/to go through/process/course/CL:個|个[ge4]	205.0	2
经常	jīng cháng	frequently/constantly/regularly/often/day-to-day/everyday/daily	197.0	2
人民	rén mín	the people/CL:個|个[ge4]	196.0	2
名字	míng zi	name (of a person or thing)/CL:個|个[ge4]	195.0	2
成功	Chéng gōng; chéng gōng	Chenggong or Chengkung town in Taitung county 臺東縣|台东县[Tai2 dong1 xian4], southeast Taiwan; success/to succeed/CL:次[ci4],個|个[ge4]	195.0	2
直接	zhí jiē	direct/opposite: indirect 間接|间接/immediate/directly/straightforward	193.0	2
根本	gēn běn	fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]	191.0	2
台	Tái; tái	Taiwan (abbr.)/surname Tai; (classical) you (in letters)/platform; desk/platform; Taiwan (abbr.); platform/stage/terrace/stand/support/desk/station/broadcasting station/classifier for vehicles or machines; typhoon	190.0	2
活	huó	to live/alive/living/work/workmanship	185.0	2
有的	yǒu de	(there are) some (who are...)/some (exist)	184.0	2
曾经	céng jīng	once/already/former/previously/ever/(past tense marker used before verb or clause)	184.0	2
设计	shè jì	plan/design/to design/to plan/CL:個|个[ge4]	184.0	2
不想	bù xiǎng	unexpectedly	183.0	2
提出	tí chū	to raise (an issue)/to propose/to put forward/to suggest/to post (on a website)/to withdraw (cash)	183.0	2
存在	cún zài	to exist/to be/existence	181.0	2
手机	shǒu jī	cell phone/mobile phone/CL:部[bu4],支[zhi1]	180.0	2
文	Wén; wén	surname Wen; language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 118	178.0	2
主	zhǔ	owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games)	173.0	2
医院	yī yuàn	hospital/CL:所[suo3],家[jia1],座[zuo4]	172.0	2
毕业	bì yè	graduation/to graduate/to finish school	171.0	2
安全	ān quán	safe/secure/safety/security	169.0	2
部分	bù fèn	part/share/section/piece/CL:個|个[ge4]	167.0	2
表现	biǎo xiàn	to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior	166.0	2
意思	yì si	idea/opinion/meaning/wish/desire/CL:個|个[ge4]	165.0	2
时代	shí dài	age/era/epoch/period/CL:個|个[ge4]	165.0	2
愿意	yuàn yì	to wish/to want/ready/willing (to do sth)	162.0	2
辆	liàng	classifier for vehicles	158.0	2
哪里	nǎ lǐ	where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/also written 哪裡|哪里; where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment	155.0	2
光	guāng	light/ray/CL:道[dao4]/bright/only/merely/to use up	155.0	2
责任	zé rèn	responsibility/blame/duty/CL:個|个[ge4]	153.0	2
变成	biàn chéng	to change into/to turn into/to become	151.0	2
相	Xiāng; xiāng; xiàng	surname Xiang; each other/one another/mutually; appearance/portrait/picture	146.0	2
具有	jù yǒu	to have/to possess	146.0	2
身边	shēn biān	at one's side/on hand	145.0	2
不再	bù zài	no more/no longer	144.0	2
称	chèn; chēng; chèng	to fit/balanced/suitable; to weigh/to state/to name/name/appellation/to praise; variant of 秤[cheng4], steelyard/Roman balance/CL:臺|台[tai2]/steelyard	143.0	2
经历	jīng lì	experience/CL:個|个[ge4],次[ci4]/to experience/to go through	142.0	2
受到	shòu dào	to receive/to suffer/obtained/given	142.0	2
消息	xiāo xi	news/information/CL:條|条[tiao2]	141.0	2
都会	dū huì	society/community/city/metropolis	140.0	2
尽管	jǐn guǎn	despite/although/even though/in spite of/unhesitatingly/do not hesitate (to ask, complain etc)/(go ahead and do it) without hesitating	138.0	2
那天	nà tiān	that day/the other day	137.0	2
利用	lì yòng	to exploit/to make use of/to use/to take advantage of/to utilize	134.0	2
分析	fēn xī	to analyze/analysis/CL:個|个[ge4]	133.0	2
建筑	jiàn zhù	to construct/building/CL:個|个[ge4]	133.0	2
不管	bù guǎn	no matter (what, how)/regardless of/no matter	132.0	2
处理	chǔ lǐ	to handle/to treat/to deal with/to process/CL:個|个[ge4]	132.0	2
管	Guǎn; guǎn	surname Guan; to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about/tube/pipe/(spoken) to/towards	130.0	2
仍然	réng rán	still/yet	129.0	2
我国	wǒ guó	our country/China	129.0	2
面对	miàn duì	to confront/to face	128.0	2
亿	yì	100 million	128.0	2
抱	bào	to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish	126.0	2
目标	mù biāo	target/goal/objective/CL:個|个[ge4]	126.0	2
政策	zhèng cè	policy/CL:個|个[ge4]	125.0	2
网上	wǎng shàng	on-line	124.0	2
加入	jiā rù	to become a member/to join/to mix into/to participate in/to add in	123.0	2
无论	wú lùn	no matter what or how/regardless of whether...	122.0	2
晚	wǎn	evening/night/late	122.0	2
顿	dùn	to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal	122.0	2
接着	jiē zhe	to catch and hold on/to continue/to go on to do sth/to follow/to carry on/then/after that/subsequently/to proceed/to ensue/in turn/in one's turn	116.0	2
按照	àn zhào	according to/in accordance with/in the light of/on the basis of	115.0	2
方向	fāng xiàng	direction/orientation/path to follow/CL:個|个[ge4]	114.0	2
随着	suí zhe	along with/in the wake of/following	113.0	2
宿舍	sù shè	dormitory/dorm room/living quarters/hostel/CL:間|间[jian1]	110.0	2
力量	lì liang	power/force/strength	110.0	2
时期	shí qī	period/phase/CL:個|个[ge4]	107.0	2
去年	qù nián	last year	107.0	2
相当	xiāng dāng	equivalent to/appropriate/considerably/to a certain extent/fairly/quite	106.0	2
当地	dāng dì	local	104.0	2
上午	shàng wǔ	morning/CL:個|个[ge4]	104.0	2
街	jiē	street/CL:條|条[tiao2]	103.0	2
再次	zài cì	one more time/again/one more/once again	103.0	2
现象	xiàn xiàng	appearance/phenomenon/CL:個|个[ge4],種|种[zhong3]	99.0	2
敢	gǎn	to dare/daring/(polite) may I venture	99.0	2
保证	bǎo zhèng	guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:個|个[ge4]	99.0	2
理论	lǐ lùn	theory/CL:個|个[ge4]	98.0	2
最终	zuì zhōng	final/ultimate	97.0	2
民	Mín; mín	surname Min; the people/nationality/citizen	96.0	2
火车	huǒ chē	train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]	95.0	2
印象	yìn xiàng	impression	94.0	2
超	chāo	to exceed/to overtake/to surpass/to transcend/to pass/to cross/ultra-/super-	93.0	2
没什么	méi shén me	variant of 沒甚麼|没什么, nothing/it doesn't matter/it's nothing/never mind; nothing/it doesn't matter/it's nothing/never mind	93.0	2
速度	sù dù	speed/rate/velocity/CL:個|个[ge4]	91.0	2
分别	fēn bié	to part or leave each other/to distinguish/difference/in different ways/differently/separately or individually	90.0	2
业务	yè wù	business/professional work/service/CL:項|项[xiang4]	90.0	2
成立	chéng lì	to establish/to set up/to be tenable/to hold water	88.0	2
想法	xiǎng fǎ	idea/notion/train of thought/what sb is thinking/to think of a way (to do sth)/CL:個|个[ge4]	87.0	2
观点	guān diǎn	point of view/viewpoint/standpoint/CL:個|个[ge4]	87.0	2
巨大	jù dà	huge/immense/very large/tremendous/gigantic/enormous	87.0	2
思考	sī kǎo	to reflect on/to ponder over	85.0	2
物	wù	thing/object/matter/abbr. for physics 物理	84.0	2
利益	lì yì	benefit/(in sb's) interest/CL:個|个[ge4]	84.0	2
中央	zhōng yāng	central/middle/center/central authorities (of a state)	84.0	2
拒绝	jù jué	to refuse/to decline/to reject	83.0	2
民主	mín zhǔ	democracy	81.0	2
反应	fǎn yìng	to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]	80.0	2
开放	kāi fàng	to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality	79.0	2
可惜	kě xī	it is a pity/what a pity/unfortunately	77.0	2
特殊	tè shū	special/particular/unusual/extraordinary	77.0	2
恢复	huī fù	to reinstate/to resume/to restore/to recover/to regain/to rehabilitate	76.0	2
强烈	qiáng liè	intense/(violently) strong	76.0	2
危险	wēi xiǎn	danger/dangerous	76.0	2
不久	bù jiǔ	not long (after)/before too long/soon/soon after	75.0	2
也就是	yě jiù shì	that is/i.e.	75.0	2
设备	shè bèi	equipment/facilities/installations/CL:個|个[ge4]	75.0	2
加强	jiā qiáng	to reinforce/to strengthen/to increase	73.0	2
具	jù	tool/device/utensil/equipment/instrument/talent/ability/to possess/to have/to provide/to furnish/to state/classifier for devices, coffins, dead bodies	73.0	2
机构	jī gòu	mechanism/structure/organization/agency/institution/CL:所[suo3]	73.0	2
留学生	liú xué shēng	student studying abroad/(foreign) exchange student/CL:個|个[ge4],位[wei4]	72.0	2
聊天	liáo tiān	to chat/to gossip	72.0	2
原则	yuán zé	principle/doctrine/CL:個|个[ge4]	72.0	2
长期	cháng qī	long term/long time/long range (of a forecast)	71.0	2
制	zhì	system/to control/to regulate; to manufacture/to make	70.0	2
大部分	dà bù fen	in large part/the greater part/the majority	69.0	2
或许	huò xǔ	perhaps/maybe	69.0	2
程序	chéng xù	procedures/sequence/order/computer program	69.0	2
访问	fǎng wèn	to visit/to call on/to interview/CL:次[ci4]	68.0	2
内心	nèi xīn	heart/innermost being	68.0	2
在线	zài xiàn	online	67.0	2
因素	yīn sù	element/factor/CL:個|个[ge4]	67.0	2
官员	guān yuán	official (in an organization or government)/administrator	67.0	2
状况	zhuàng kuàng	condition/state/situation/CL:個|个[ge4]	66.0	2
园	Yuán; yuán	surname Yuan; land used for growing plants/site used for public recreation	66.0	2
复杂	fù zá	complicated/complex	65.0	2
说法	shuō fǎ; shuō fa	to expound Buddhist teachings; way of speaking/wording/formulation/one's version (of events)/statement/theory/hypothesis/interpretation	65.0	2
史	Shǐ; shǐ	surname Shi; history/annals/title of an official historian in ancient China	64.0	2
公开	gōng kāi	public/to publish/to make public	64.0	2
烧	shāo	to burn/to cook/to stew/to bake/to roast/fever	64.0	2
指导	zhǐ dǎo	to guide/to give directions/to direct/to coach/guidance/tuition/CL:個|个[ge4]	64.0	2
罗	Luó; luó	surname Luo; gauze/to collect/to gather/to catch/to sift	63.0	2
反而	fǎn ér	instead/on the contrary/contrary (to expectations)	63.0	2
意识	yì shí	consciousness/awareness/to be aware/to realize	63.0	2
手段	shǒu duàn	method/means (of doing sth)/strategy/trick/CL:個|个[ge4]	63.0	2
器	qì	device/tool/utensil/CL:臺|台[tai2]	63.0	2
然	rán	correct/right/so/thus/like this/-ly	62.0	2
瓦	wǎ	roof tile/abbr. for 瓦特[wa3 te4], watt (loan)	62.0	2
空气	kōng qì	air/atmosphere	62.0	2
居民	jū mín	resident/inhabitant	61.0	2
长大	zhǎng dà	to grow up	61.0	2
练习	liàn xí	exercise/drill/practice/CL:個|个[ge4]	61.0	2
大多数	dà duō shù	(great) majority	59.0	2
市民	shì mín	city resident	59.0	2
符合	fú hé	in keeping with/in accordance with/tallying with/in line with/to agree with/to accord with/to conform to/to correspond with/to manage/to handle	59.0	2
矛盾	máo dùn	contradiction/CL:個|个[ge4]/conflicting views/contradictory	58.0	2
社区	shè qū	community	58.0	2
黑色	hēi sè	black	57.0	2
盯	dīng	to watch attentively/to fix one's attention on/to stare at/to gaze at	57.0	2
开展	kāi zhǎn	(begin to) develop/unfold/to start/to launch/to open/to carry out	57.0	2
对话	duì huà	dialog/CL:個|个[ge4]	56.0	2
大人	dà ren	adult/grownup/title of respect toward superiors	56.0	2
高校	gāo xiào	universities and colleges/abbr. for 高等學校|高等学校	55.0	2
苏	sū; Sū	see 囉囌|啰苏[luo1 su1], see 囉嗦|啰嗦[luo1 suo5], long-winded/wordy/troublesome/pesky; to revive; surname Su/abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联/abbr. for Jiangsu province 江蘇|江苏/abbr. for Suzhou city 蘇州|苏州; Perilla frutescens (Chinese basil or wild red basil)/place name/to revive/used as phonetic in transliteration	55.0	2
交易	jiāo yì	(business) transaction/business deal/CL:筆|笔[bi3]	55.0	2
闹	nào	noisy/cacophonous/to make noise/to disturb/to vent (feelings)/to fall ill/to have an attack (of sickness)/to go in (for some activity)/to joke	54.0	2
墙	qiáng	wall/CL:面[mian4],堵[du3]	54.0	2
承担	chéng dān	to undertake/to assume (responsibility etc)	54.0	2
时刻	shí kè	moment/CL:個|个[ge4]/constantly/always	54.0	2
讲话	jiǎng huà	a speech/to speak/to talk/to address/CL:個|个[ge4]	52.0	2
期待	qī dài	to look forward to/to await/expectation	51.0	2
解	Xiè; jiě; jiè; xiè	surname Xie; to divide/to break up/to split/to separate/to dissolve/to solve/to melt/to remove/to untie/to loosen/to open/to emancipate/to explain/to understand/to know/a solution/a dissection; to transport under guard; acrobatic display (esp. on horseback) (old)/variant of 懈[xie4] and 邂[xie4] (old)	51.0	2
高度	gāo dù	height/altitude/elevation/high degree/highly/CL:個|个[ge4]	51.0	2
命令	mìng lìng	order/command/CL:道[dao4],個|个[ge4]	51.0	2
测试	cè shì	to test (machinery etc)/to test (students)/test/quiz/exam/beta (software)	51.0	2
及其	jí qí	and/as well as	50.0	2
一致	yī zhì	unanimous/identical (views or opinions)	49.0	2
食物	shí wù	food/CL:種|种[zhong3]	49.0	2
竹	zhú	bamboo/CL:棵[ke1],支[zhi1],根[gen1]	48.0	2
治	zhì	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal	47.0	2
有趣	yǒu qù	interesting/fascinating/amusing	46.0	2
哪些	nǎ xiē	which ones?/who?/what?	45.0	2
实	shí	real/true/honest/really/solid/fruit/seed/definitely	45.0	2
威胁	wēi xié	to threaten/to menace	45.0	2
烦	fán	to feel vexed/to bother/to trouble/superfluous and confusing/edgy	44.0	2
要不	yào bù	otherwise/or else/how about...?/either... (or...)	43.0	2
制定	zhì dìng	to draw up/to formulate	43.0	2
协议	xié yì	agreement/pact/protocol/CL:項|项[xiang4]	43.0	2
展开	zhǎn kāi	to unfold/to carry out/to be in full swing/to launch	43.0	2
唱歌	chàng gē	to sing a song	39.0	2
透露	tòu lù	to leak out/to divulge/to reveal	38.0	2
尴尬	gān gà	awkward/embarrassed	38.0	2
帕	pà	to wrap/kerchief/handkerchief/headscarf/pascal (SI unit)	38.0	2
战斗	zhàn dòu	to fight/to battle/CL:場|场[chang2],次[ci4]	37.0	2
从未	cóng wèi	never	37.0	2
尝试	cháng shì	to try/to attempt/CL:次[ci4]	37.0	2
凌晨	líng chén	very early in the morning/in the wee hours	36.0	2
莎	shā; suō	katydid (family Tettigoniidae)/phonetic "sha" used in transliteration; see 莎草[suo1 cao3], coco-grass or nut sedge (Cyperus rotundus)/see 摩莎[mo2 suo1], variant of 摩挲[mo2 suo1], to stroke/to caress	36.0	2
当前	dāng qián	current/today's/modern/present/to be facing (us)	35.0	2
信任	xìn rèn	to trust/to have confidence in	35.0	2
失	shī	to lose/to miss/to fail	35.0	2
批准	pī zhǔn	to approve/to ratify	35.0	2
胡	Hú; hú	surname Hu; non-Han people, esp. from central Asia/reckless/outrageous/what?/why?/to complete a winning hand at mahjong (also written 和[hu2]); see 衚衕|胡同[hu2 tong4], ; beard/mustache/whiskers	34.0	2
人权	rén quán	human rights	33.0	2
危机	wēi jī	crisis/CL:個|个[ge4]	33.0	2
商务	shāng wù	commercial affairs/commercial/commerce/business	32.0	2
新疆	Xīn jiāng	Xinjiang/Uighur autonomous region 新疆維吾爾自治區|新疆维吾尔自治区	31.0	2
止	zhǐ	to stop/to prohibit/until/only	31.0	2
领袖	lǐng xiù	leader/CL:個|个[ge4],位[wei4],名[ming2]	31.0	2
司	Sī; sī	surname Si; to take charge of/to manage/department (under a ministry)	31.0	2
刺	cī; cì	whoosh (onomatopoeia); thorn/sting/thrust/to prick/to pierce/to stab/to assassinate/to murder	31.0	2
设立	shè lì	to set up/to establish	30.0	2
总经理	zǒng jīng lǐ	general manager/CEO	30.0	2
群体	qún tǐ	community/colony	29.0	2
爆发	bào fā	to break out/to erupt/to explode/to burst out	29.0	2
秩序	zhì xù	order (orderly)/order (sequence)/social order/the state (of society)/CL:個|个[ge4]	29.0	2
带有	dài yǒu	to have/to involve	29.0	2
不论	bù lùn	whatever/no matter what (who, how etc)/regardless of/not to discuss	29.0	2
模糊	mó hu	vague/indistinct/fuzzy	29.0	2
以便	yǐ biàn	so that/so as to/in order to	29.0	2
其余	qí yú	the rest/the others/remaining/remainder/apart from them	28.0	2
在内	zài nèi	including	28.0	2
混乱	hùn luàn	confusion/chaos/disorder	28.0	2
公众	gōng zhòng	public	28.0	2
厅	tīng	(reception) hall/office/living room	28.0	2
本地	běn dì	local/this locality	27.0	2
少数	shǎo shù	small number/few/minority	27.0	2
困	kùn	to trap/to surround/hard-pressed/stranded/destitute; sleepy/tired	27.0	2
推进	tuī jìn	to impel/to carry forward/to push on/to advance/to drive forward	26.0	2
现状	xiàn zhuàng	current situation	26.0	2
差别	chā bié	difference/distinction/diversity/disparity	26.0	2
盛	Shèng; chéng; shèng	surname Sheng; to hold/to contain/to ladle/to pick up with a utensil; flourishing/vigorous/magnificent/extensively	26.0	2
正义	zhèng yì	justice/righteousness/just/righteous	25.0	2
行人	xíng rén	pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor	25.0	2
深夜	shēn yè	very late at night	25.0	2
服务器	fú wù qì	server (computer)/CL:臺|台[tai2]	25.0	2
化学	huà xué	chemistry/chemical	25.0	2
否认	fǒu rèn	to declare to be untrue/to deny	24.0	2
毫不	háo bù	hardly/not in the least/not at all	24.0	2
收购	shōu gòu	to purchase (from various places)/to acquire (a company)	24.0	2
讲座	jiǎng zuò	a course of lectures/CL:個|个[ge4]	23.0	2
正当	zhèng dāng; zhèng dàng	timely/just (when needed); honest/reasonable/fair/sensible	23.0	2
资助	zī zhù	to subsidize/to provide financial aid/subsidy	22.0	2
被迫	bèi pò	to be compelled/to be forced	22.0	2
无力	wú lì	powerless/lacking strength	22.0	2
寻求	xún qiú	to seek/to look for	22.0	2
妮	nī	girl/phonetic "ni" (in girl's name)	22.0	2
爱国	ài guó	to love one's country/patriotic	21.0	2
消灭	xiāo miè	to put an end to/to annihilate/to cause to perish/to perish/annihilation (in quantum field theory)	21.0	2
泛	fàn	to float/to be suffused with/general/extensive/non-specific/flood/pan- (prefix)	21.0	2
一度	yī dù	for a time/at one time/one time/once	21.0	2
共享	gòng xiǎng	to share/to enjoy together	21.0	2
涌	yǒng	to bubble up/to rush forth	21.0	2
震惊	zhèn jīng	to shock/to astonish	20.0	2
亡	wáng	to die/to lose/to be gone/to flee/deceased	20.0	2
战场	zhàn chǎng	battlefield/CL:個|个[ge4]	20.0	2
创意	chuàng yì	creative/creativity	20.0	2
乐观	lè guān	optimistic/hopeful	19.0	2
庞大	páng dà	huge/enormous/tremendous	19.0	2
大批	dà pī	large quantities of	18.0	2
建造	jiàn zào	to construct/to build	18.0	2
侵犯	qīn fàn	to infringe on/to encroach on/to violate	17.0	2
审查	shěn chá	to examine/to investigate/to censor out/censorship	17.0	2
候	hòu	to wait/to inquire after/to watch/season/climate/(old) period of five days	16.0	2
沮丧	jǔ sàng	dispirited/dejected/dismayed	16.0	2
锦	jǐn	brocade/embroidered work/bright	15.0	2
弥漫	mí màn	to pervade/to fill the air/diffuse/everywhere present/about to inundate (water)/permeated by (smoke)/filled with (dust)/to saturate (the air with fog, smoke etc)	15.0	2
鼻	bí	nose	15.0	2
影响力	yǐng xiǎng lì	influence/impact	14.0	2
亲身	qīn shēn	personal/oneself	14.0	2
通往	tōng wǎng	to lead to	14.0	2
享有	xiǎng yǒu	to enjoy (rights, privileges etc)	14.0	2
治理	zhì lǐ	to govern/to administer/to manage/to control/governance	14.0	2
总部	zǒng bù	general headquarters	14.0	2
月初	yuè chū	start of month/early in the month	13.0	2
示威	shì wēi	to demonstrate (as a protest)/a demonstration/a military show of force	13.0	2
上楼	shàng lóu	to go upstairs	13.0	2
警车	jǐng chē	police car	13.0	2
诉讼	sù sòng	lawsuit	13.0	2
骚扰	sāo rǎo	to disturb/to cause a commotion/to harass	13.0	2
方针	fāng zhēn	policy/guidelines/CL:個|个[ge4]	13.0	2
出示	chū shì	to show/to take out and show to others/to display	13.0	2
激	jī	to arouse/to incite/to excite/to stimulate/sharp/fierce/violent	12.0	2
交际	jiāo jì	communication/social intercourse	12.0	2
现任	xiàn rèn	at the present/to hold an office/to occupy a post	12.0	2
迹象	jì xiàng	mark/indication/sign/indicator	12.0	2
物资	wù zī	goods/supplies	12.0	2
潜在	qián zài	hidden/potential/latent	11.0	2
认得	rèn de	to recognize/to remember sth (or sb) on seeing it/to know	11.0	2
国会	guó huì	parliament/Congress/diet	11.0	2
